Time(sec) Thrust(N) Mass(kg) Altitude(m) Velocity(m/s) Acceleration(m/s^2) AtmosphericDensity(kg/m^3) Pressure(Pa) Temperature(K) CD(-) Fdrag(N) g(m/s^2) DynamicPressure(Pa) MachNumber(-) OrbitalAccelerationBalance(m/s^2) dMass(kg) Altitude(km)
0 1.43505e+07 681394 3 0 11.2622 1.18568 101290 297.981 0.75 0 9.79827 0 0 -9.77207 0 0.003 
0.1 1.43505e+07 680960 3.05631 1.12622 11.2756 1.18567 101290 297.98 0.750004 -8.90154 9.79827 0.751939 0.00325481 -9.77207 434.5 0.00305631 
0.2 1.43505e+07 680525 3.22531 2.25379 11.2891 1.18565 101288 297.979 0.750016 -35.6486 9.79826 3.0113 0.00651351 -9.77207 434.5 0.00322531 
0.3 1.43505e+07 680091 3.50714 3.38269 11.3025 1.18562 101284 297.977 0.750036 -80.305 9.79826 6.78331 0.00977611 -9.77207 434.5 0.00350714 
0.4 1.43505e+07 679656 3.90192 4.51294 11.3159 1.18558 101280 297.975 0.750064 -142.934 9.79826 12.0731 0.0130426 -9.77206 434.5 0.00390192 
0.5 1.43505e+07 679222 4.40979 5.64452 11.3293 1.18552 101274 297.971 0.7501 -223.601 9.79826 18.8858 0.016313 -9.77206 434.5 0.00440979 
0.6 1.43505e+07 678787 5.03089 6.77745 11.3426 1.18546 101267 297.967 0.750144 -322.368 9.79826 27.2263 0.0195874 -9.77206 434.5 0.00503089 
0.7 1.43505e+07 678353 5.76535 7.91171 11.356 1.18538 101258 297.963 0.750196 -439.299 9.79826 37.0994 0.0228657 -9.77205 434.5 0.00576535 
0.8 1.43505e+07 677918 6.6133 9.04731 11.3694 1.18528 101248 297.957 0.750257 -574.459 9.79825 48.51 0.026148 -9.77205 434.5 0.0066133 
0.9 1.43505e+07 677484 7.57488 10.1843 11.3827 1.18518 101237 297.951 0.750325 -727.912 9.79825 61.4626 0.0294342 -9.77204 434.5 0.00757488 
1 1.43505e+07 677049 8.65022 11.3225 11.3961 1.18506 101225 297.944 0.750402 -899.722 9.79825 75.9619 0.0327244 -9.77203 434.5 0.00865022 
1.1 1.43505e+07 676615 9.83945 12.4621 11.4094 1.18493 101211 297.936 0.750487 -1089.95 9.79824 92.0123 0.0360185 -9.77203 434.5 0.00983945 
1.2 1.43505e+07 676180 11.1427 13.6031 11.4227 1.18478 101196 297.928 0.75058 -1298.67 9.79824 109.618 0.0393167 -9.77202 434.5 0.0111427 
1.3 1.43505e+07 675746 12.5601 14.7453 11.436 1.18463 101179 297.918 0.750682 -1525.94 9.79824 128.784 0.0426188 -9.77201 434.5 0.0125601 
1.4 1.43505e+07 675311 14.0918 15.8889 11.4493 1.18446 101161 297.908 0.750792 -1771.82 9.79823 149.513 0.0459249 -9.772 434.5 0.0140918 
1.5 1.43505e+07 674877 15.738 17.0339 11.4626 1.18428 101142 297.898 0.750911 -2036.37 9.79823 171.811 0.0492351 -9.77199 434.5 0.015738 
1.6 1.43505e+07 674442 17.4987 18.1801 11.4759 1.18408 101122 297.886 0.751038 -2319.68 9.79822 195.68 0.0525493 -9.77197 434.5 0.0174987 
1.7 1.43505e+07 674008 19.3741 19.3277 11.4892 1.18388 101100 297.874 0.751173 -2621.79 9.79822 221.125 0.0558675 -9.77196 434.5 0.0193741 
1.8 1.43505e+07 673573 21.3643 20.4766 11.5024 1.18366 101077 297.861 0.751317 -2942.77 9.79821 248.15 0.0591898 -9.77195 434.5 0.0213643 
1.9 1.43505e+07 673139 23.4695 21.6269 11.5157 1.18343 101053 297.847 0.75147 -3282.69 9.7982 276.758 0.0625161 -9.77193 434.5 0.0234695 
2 1.43505e+07 672704 25.6897 22.7785 11.5289 1.18318 101027 297.833 0.751631 -3641.62 9.7982 306.952 0.0658465 -9.77192 434.5 0.0256897 
2.1 1.43505e+07 672270 28.0252 23.9314 11.5422 1.18293 101000 297.818 0.751801 -4019.61 9.79819 338.737 0.069181 -9.7719 434.5 0.0280252 
2.2 1.43505e+07 671835 30.4761 25.0856 11.5554 1.18266 100971 297.802 0.75198 -4416.74 9.79818 372.115 0.0725196 -9.77189 434.5 0.0304761 
2.3 1.43505e+07 671401 33.0424 26.2411 11.5686 1.18238 100942 297.785 0.752168 -4833.07 9.79817 407.09 0.0758622 -9.77187 434.5 0.0330424 
2.4 1.43505e+07 670966 35.7244 27.398 11.5818 1.18208 100911 297.768 0.752364 -5268.67 9.79816 443.664 0.079209 -9.77185 434.5 0.0357244 
2.5 1.43505e+07 670532 38.5221 28.5561 11.595 1.18177 100878 297.75 0.752569 -5723.59 9.79816 481.841 0.0825599 -9.77183 434.5 0.0385221 
2.6 1.43505e+07 670097 41.4357 29.7156 11.6081 1.18145 100845 297.731 0.752783 -6197.92 9.79815 521.624 0.0859149 -9.77181 434.5 0.0414357 
2.7 1.43505e+07 669663 44.4653 30.8765 11.6213 1.18112 100810 297.711 0.753007 -6691.71 9.79814 563.015 0.089274 -9.77179 434.5 0.0444653 
2.8 1.43505e+07 669228 47.611 32.0386 11.6344 1.18078 100773 297.691 0.753239 -7205.03 9.79813 606.017 0.0926373 -9.77177 434.5 0.047611 
2.9 1.43505e+07 668794 50.873 33.202 11.6476 1.18042 100735 297.669 0.75348 -7737.95 9.79812 650.632 0.0960047 -9.77175 434.5 0.050873 
3 1.43505e+07 668359 54.2515 34.3668 11.6607 1.18005 100696 297.647 0.753731 -8290.54 9.79811 696.864 0.0993763 -9.77173 434.5 0.0542515 
3.1 1.43505e+07 667925 57.7465 35.5329 11.6738 1.17967 100656 297.625 0.753991 -8862.86 9.7981 744.713 0.102752 -9.7717 434.5 0.0577465 
3.2 1.43505e+07 667490 61.3581 36.7002 11.6869 1.17927 100614 297.601 0.75426 -9454.98 9.79809 794.184 0.106132 -9.77168 434.5 0.0613581 
3.3 1.43505e+07 667056 65.0866 37.8689 11.7 1.17886 100571 297.577 0.754539 -10067 9.79807 845.276 0.109516 -9.77165 434.5 0.0650866 
3.4 1.43505e+07 666621 68.932 39.0389 11.7131 1.17844 100527 297.552 0.754826 -10698.9 9.79806 897.994 0.112905 -9.77163 434.5 0.068932 
3.5 1.43505e+07 666187 72.8944 40.2102 11.7262 1.17801 100481 297.526 0.755124 -11350.8 9.79805 952.337 0.116297 -9.7716 434.5 0.0728944 
3.6 1.43505e+07 665752 76.9741 41.3829 11.7392 1.17756 100434 297.5 0.755431 -12022.8 9.79804 1008.31 0.119694 -9.77157 434.5 0.0769741 
3.7 1.43505e+07 665318 81.1711 42.5568 11.7522 1.1771 100386 297.472 0.755748 -12715 9.79803 1065.91 0.123095 -9.77155 434.5 0.0811711 
3.8 1.43505e+07 664883 85.4855 43.732 11.7653 1.17663 100336 297.444 0.756074 -13427.4 9.79801 1125.14 0.1265 -9.77152 434.5 0.0854855 
3.9 1.43505e+07 664449 89.9175 44.9085 11.7783 1.17614 100285 297.416 0.75641 -14160 9.798 1186.01 0.12991 -9.77149 434.5 0.0899175 
4 1.43505e+07 664014 94.4673 46.0864 11.7913 1.17564 100232 297.386 0.756756 -14913 9.79798 1248.51 0.133324 -9.77146 434.5 0.0944673 
4.1 1.43505e+07 663580 99.1349 47.2655 11.8043 1.17513 100179 297.356 0.757112 -15686.4 9.79797 1312.64 0.136742 -9.77142 434.5 0.0991349 
4.2 1.43505e+07 663145 103.92 48.4459 11.8172 1.17461 100124 297.325 0.757478 -16480.4 9.79796 1378.41 0.140164 -9.77139 434.5 0.10392 
